;word;part_of_speech;Pozitivitate;Negativitate;Furie;Anticipare;Dezgust;Frica;Bucurie;Tristete;Surpriza;Incredere;wn_synset_id
7939;inima cât un purice;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
7957;vorbi verzi și uscate;Expresie;0;1;0;0;0;0;0;0;0;0;ENG30-00943281-v
7958;îndruga verzi și uscate;Expresie;0;1;0;0;0;0;0;0;0;0;ENG30-00943281-v
7971;saluta cu urale;Expresie;1;0;0;0;0;0;1;0;0;0;ENG30-00900376-v
7972;lua la sănătoasa;Expresie;0;0;0;0;0;1;0;0;0;0;DEX
7973;baie de sânge;Expresie;0;1;1;1;1;1;0;1;0;0;ENG30-00224260-n
7974;vărsare de sânge;Expresie;0;1;1;1;1;1;0;1;0;0;ENG30-00221178-n
7984;doamna cu coasa;Expresie;0;1;0;1;0;1;0;1;0;0;OTHER
7989;face spume;Expresie;0;1;1;0;0;0;0;0;0;0;ENG30-01795333-v
7990;bea de stinge;Expresie;0;1;1;0;1;0;0;0;0;0;DEX
7992;strângere de mână;Expresie;1;0;0;0;0;0;0;0;0;1;ENG30-06632097-n
7993;strânge mâna;Expresie;1;0;0;0;0;0;1;0;0;1;ENG30-00898019-v
7999;umăr la umăr;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8000;vinde gogoși;Expresie;0;1;0;0;1;0;0;0;1;0;DEX
8004;freca menta;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8005;lua nasul la purtare;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8006;face felul;Expresie;0;1;1;1;0;1;0;1;0;0;DEX
8007;călca pe bec;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8008;face de oaie;Expresie;0;1;0;0;0;1;0;0;0;0;DEX
8009;vinde castraveți grădinarului;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8010;vinde pielea ursului din pădure;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8011;da la rațe;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8012;umbla cu cioara vopsită;Expresie;0;1;1;0;0;0;0;0;0;0;DEX
8013;bate apa-n piuă;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8014;da cu oiștea-n gard;Expresie;0;1;0;0;0;0;0;0;0;0;DEX
8015;avea ac de cojocul cuiva;Expresie;0;1;1;0;0;1;0;0;0;0;DEX
8016;face cu ou și cu oțet;Expresie;0;1;1;0;0;1;0;1;0;0;DEX
8017;trage pe fund;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
8018;ajunge cuțitul la os;Expresie;0;1;0;0;0;1;0;1;0;0;DEX
8019;duce cu preșul;Expresie;0;1;0;0;0;0;0;0;1;0;DEX
8020;băga mâna în foc;Expresie;1;0;0;0;0;0;0;0;0;1;DEX
8021;lupta cu morile de vânt;Expresie;0;1;1;0;0;0;0;1;0;0;DEX
8022;mâna porcii;Expresie;0;1;0;0;1;0;0;0;0;0;DEX
